"s.01","s.02","s.03","s.04","s.05","s.06","s.07","s.08","s.09","s.10","s.11","s.12","s.13","s.14","s.15","s.16","s.17","s.18","s.19","s.20","s.21","s.22","s.23","s.24","s.25","s.26","s.27","s.28","s.29","s.30","s.31","s.32","s.33","s.34","s.35","s.36","s.37","s.38","s.39","s.40","s.41","s.42","s.43","s.44","s.45","s.46","s.47","s.48","s.49","s.50","s.51","s.52"
"ms.01",10.0053694039791,9.7982198429108,9.95454062300577,10.4684081488838,10.116736999202,9.87104062723492,9.67233154836334,10.0099026211079,9.76642362379675,9.83572814665185,10.67447469529,10.888377943618,10.5225509165685,10.5225509165685,9.13240235875799,9.58359566500853,9.39906749297255,9.37161166114802,9.65039903557622,10.0365899142728,10.0687079791434,9.79524366769373,9.93593435691503,10.154731723202,9.60286245717456,10.2566679138536,10.1280557134996,10.0125032593979,9.46601528738173,9.47756615000632,9.47756615000632,9.3995636380725,9.20344469603799,9.60415124843601,9.67308455106622,9.27535693686077,9.78979774630632,9.47641521659155,9.52954042514811,9.66906029438205,9.29115302579637,9.43790994965054,9.64159893235448,9.19681318492933,8.95083394312398,9.50253398973889,9.39901203326522,9.07057318733616,9.07057318733616,8.32364320718672,8.90701771097791,9.44679143788181
"ms.02",8.35539918692637,8.12407364108805,8.15714546245052,8.67946302634018,8.34825711795562,8.185474185429,7.83827933239875,8.31567290878965,8.07732538158228,7.89819223337372,8.78637823023156,9.04676791469288,8.76508345169463,8.54224402986083,7.50635266588052,7.94641895999011,7.8010959313899,7.67841341146963,8.07843387543304,8.14789869492735,9.46218933477151,9.21948793094573,9.27485316820141,9.56110436080477,8.91738396055121,9.83804744636131,9.86321455099117,9.52903130421331,7.53397267121188,7.47064673625722,7.42841850079544,7.36515360751648,7.37011986012716,7.35516951863394,7.57756193959275,7.21866751911248,7.68509040434786,7.67709761334507,7.35516951863394,7.60309703175289,7.16823809218894,7.38491686208194,7.33499163695693,7.79814564678979,7.23528733266633,7.93533760683104,7.64271164770612,7.50253398993778,7.58429496159415,7.13031777328158,7.76346380747763,7.96311227310996
"ms.03",6.30833093336623,5.88344564820336,5.99740183737052,6.23277990044714,6.15305270787177,5.73801520859293,5.39406080746914,5.73801520859293,5.71598890228788,5.30833093354828,6.24820994099838,6.73801520886324,6.52651110349881,6.21718304541489,6.01900096196376,6.20827131310362,5.99177949327747,6.0588936891257,6.3860584323698,6.27753397560781,7.41488362032042,7.38082178422947,7.4575279575155,7.49894788469416,7.23045904922142,7.76677479045928,7.90385653540246,7.66092970326945,5.79995436118815,5.739833368993,5.52509452021332,5.87174504447237,5.84345599990678,5.84345599990678,5.75510012558379,5.61150927197979,5.67709761362704,5.96660423066823,5.70880647322566,5.89949003484265,5.7851573593188,6.06788756654451,5.64467613578086,5.53990084216992,4.72432541324533,5.80838967813678,5.30928791414841,5.05774914727373,5.28992258932081,5.38424997168225,5.82193620994826,5.61962803478403
"ms.04",4.21718304522097,4.15305270787177,3.50097601094454,4.78108393043711,3.78108393096183,4.60051168500518,3.01554918410562,4.94154860293414,3.6005116844105,3.94154860293414,4.86354609054164,4.44850859175836,4.60051168500518,4.82290410608677,3.27753397553342,4.94995931754284,4.44745897709145,4.03242147737178,3.27753397553342,4.76938707171431,4.14026123988415,3.709626885661,3.5783823521202,4.04404592442736,3.5079930247119,4.18644373852327,3.87832144312321,3.39289461614917,4.35516951845771,4.13944082749323,4.22963863688652,3.70880647294982,3.94013201917887,3.82910070724127,4.70880647350149,3.82910070724127,3.70880647294982,4.39469788249194,3.70880647294982,4.54279652156471,3.0921351127367,3.82910070724127,3.9925994388716,3.60403117917168,3.60403117917168,3.98735981907912,3.08046922364116,3.93845021869228,2.66543172441917,3.16793206488147,3.66543172487398,3.32839673705782
"ms.05",3.8635460910372,4.08593851209047,3.94154860293414,4.21718304522097,4.44850859175836,4.08593851209047,3.78108393096183,4.15305270787177,3.94154860293414,3.69362108984267,4.33747727881458,4.55160208458575,4.27858358982048,3.78108393096183,3.599462070272,3.80109593164865,3.52546148957994,3.86249647670091,3.92139016515936,3.80109593164865,5.2735277706273,4.5079930247119,4.74065378107047,4.64549654811598,4.47146714829659,4.84355602505824,5.10071386473995,4.77140623950855,3.57756194019697,3.0921351127367,3.0921351127367,3.50717261260768,3.43317203016218,3.57756194019697,3.70880647294982,3.57756194019697,3.57756194019697,3.70880647294982,3.35516951845771,3.82910070724127,3.70880647294982,3.7702070173841,3.35516951845771,3.40239731835797,2.40239731863085,3.78090894203152,2.98735981926105,2.66543172441917,2.88782414572313,3.53990084185982,3.66543172487398,3.25039422506452
"ms.06",4.82290410608677,4.55160208458575,4.82290410608677,4.97902330830465,4.82290410608677,4.44850859175836,4.15305270787177,4.33747727881458,4.55160208458575,4.08593851209047,4.90307445468809,5.01554918428402,5.05117309397123,4.64781739972599,4.56293619461311,4.73696559434654,4.599462070272,4.76938707171431,4.97797369389195,4.80109593164865,5.78597777180249,5.59545586566385,5.87256545671227,5.82992111934563,5.57838235242213,5.99379866092046,6.15842936263334,5.92894751653146,4.13944082749323,4.18524451692728,3.88568423537339,4.31452753412149,4.31452753412149,3.9925994388716,4.18524451692728,4.09213511290589,4.13944082749323,4.18524451692728,4.13944082749323,3.9925994388716,4.27270735859746,4.57756194019697,4.27270735859746,4.16793206520251,3.16793206488147,4.16793206520251,3.98735981907912,3.40239731835797,3.93845021869228,3.88782414572313,4.20975224080541,4.12486334258098
"ms.07",3.94154860293414,3.78108393096183,3.8635460910372,3.94154860293414,3.78108393096183,3.94154860293414,3.8635460910372,3.69362108984267,3.78108393096183,3.78108393096183,3.94154860293414,4.39406080712605,4.01554918428402,3.94154860293414,3.08488889761228,3.66985139861682,3.08488889761228,3.27753397553342,3.08488889761228,3.36499681635493,4.18606492919047,4.18606492919047,4.18606492919047,4.18606492919047,4.18606492919047,4.48600402092694,4.61528703748562,4.57346686191218,2.99259943923413,2.99259943923413,2.77020701780705,2.64467613578086,2.64467613578086,2.99259943923413,2.99259943923413,3.1852445172445,2.99259943923413,2.99259943923413,2.88568423537339,3.43317203016218,2.99259943923413,3.43317203016218,3.57756194019697,3.40239731835797,2.40239731863085,3.47278664611942,3.25039422506452,3.08046922364116,3.08046922364116,3.40239731835797,3.66543172487398,3.08046922364116
"ms.08",4.97902330830465,5.57626413878874,5.55160208427816,5.90307445492918,5.30833093354828,5.15305270787177,4.78108393043711,5.27858359019215,5.01554918428402,4.44850859175836,5.15305270787177,6.0686605206791,6.23277990044714,5.60051168500518,4.599462070272,5.46735853432987,5.34362316612664,5.44745897709145,5.84738958396616,5.81669278654386,5.61232968411375,5.98048079585475,5.81542154949424,6.35598993098504,6.16334485304264,6.57346686191218,6.74339186274856,6.82585402413744,5.61150927197979,5.25133370751526,5.22963863650202,5.22963863650202,5.45203105800325,5.61150927197979,5.56028394853218,5.11598185476318,4.96660423089893,5.48902526533527,4.913164971685,5.22963863650202,4.739833368993,5.22963863650202,5.22963863650202,4.43802122802213,3.98735981907912,4.91335923777897,4.43802122802213,4.16793206520251,3.78090894203152,4.75289456538859,4.88782414572313,4.83535672593728
"ms.09",2.01554918428402,1.69362108939666,1.69362108939666,1.69362108939666,1.27858359011782,2.01554918428402,1.69362108939666,2.01554918428402,2.01554918428402,1.69362108939666,2.01554918428402,2.01554918428402,1.27858359011782,1.27858359011782,0.862496476105796,0.277533975384639,-0.722466024615361,0.862496476105796,1.27753397538464,-0.722466024615361,1.50799302420465,0.186064929824534,1.50799302420465,0.77102743054569,-0.813935070175466,0.486004020540655,0.486004020540655,0.486004020540655,1.18524451708589,0.185244517720316,0.185244517720316,0.770207018018523,0.185244517720316,0.185244517720316,0.185244517720316,0.770207018018523,0.185244517720316,-0.814755483548534,0.185244517720316,0.770207018018523,0.770207018018523,0.185244517720316,0.770207018018523,0.665431724191762,0.0804692234706054,1.08046922347061,0.665431724191762,0.665431724191762,1.08046922347061,0.665431724191762,1.08046922347061,1.08046922347061
"ms.10",5.05117309397123,4.73801520859293,4.90307445468809,5.01554918428402,5.01554918428402,4.94154860293414,4.69362108928516,4.86354609054164,4.82290410608677,4.55160208458575,5.01554918428402,5.44850859142798,5.21718304522097,4.86354609054164,5.0324214778126,5.29990178841309,5.16017702498856,5.34362316612664,5.44745897709145,5.36499681670499,6.23045904883713,5.59545586566385,5.96742464311863,5.52591493227079,5.56110436080477,5.86104345198686,6.12986021031538,6.34398501581031,4.88568423537339,4.82910070673373,4.54279652156471,4.96660423089893,4.94013201917887,4.96660423089893,4.79995436118815,4.64467613578086,4.67709761334507,4.913164971685,4.88568423537339,4.88568423537339,4.85766985931862,5.09213511290589,4.77020701791279,4.28992258932081,3.40239731835797,4.60403117976491,4.25039422521612,3.7243254137911,4.12486334258098,4.25039422521612,4.57232232010349,4.28992258932081
